episode,episode_reward,batch_reward,epsilon
341,134.302423379,91.1780076869,0.1
342,323.51324995,94.0099546229,0.1
343,319.872853334,95.775643158,0.1
344,332.859144058,97.182485759,0.1
345,304.608609043,97.4970820739,0.1
346,300.336017533,97.3764572455,0.1
347,223.025460673,101.634362244,0.1
348,-181.424201457,98.7375232151,0.1
349,-124.862642371,98.2042603548,0.1
350,-480.423073015,92.7927243928,0.1
351,58.1963520572,93.7374297849,0.1
352,350.526814668,96.1388692039,0.1
353,238.830848953,98.1498053272,0.1
354,312.601950217,102.58545862,0.1
355,321.938753344,107.135306905,0.1
356,352.772408107,113.643711676,0.1
357,225.294965694,118.294317333,0.1
358,171.416348825,121.058688409,0.1
359,221.98828532,124.211787046,0.1
360,243.316992487,129.030175709,0.1
361,215.719415914,132.691415137,0.1
362,217.170496329,135.820486106,0.1
363,-373.89991953,131.105143343,0.1
364,-434.889306258,126.496050666,0.1
365,156.658550113,127.002043067,0.1
366,320.89440958,132.799183968,0.1
367,339.571088862,134.517216639,0.1
368,282.428288368,137.597591638,0.1
369,74.174237651,139.410286145,0.1
370,125.130597276,139.611900717,0.1
371,32.2711541647,139.276502545,0.1
372,123.814455486,139.659266417,0.1
373,122.018517296,137.908476467,0.1
374,37.541377679,139.250640574,0.1
375,221.022653393,140.946635323,0.1
376,236.784612992,140.553119441,0.1
377,55.4148164007,140.230652115,0.1
378,99.8072721832,140.003468023,0.1
379,-101.129560383,135.779096189,0.1
380,-414.087157546,128.193081352,0.1
381,-298.274570121,122.227052543,0.1
382,-353.730999313,116.012838655,0.1
383,-197.514055938,113.448793518,0.1
384,118.858402052,114.433681421,0.1
385,197.943100525,114.577592499,0.1
386,240.263223308,117.231001942,0.1
387,-129.497909047,114.587527153,0.1
388,-412.779167904,107.522339746,0.1
389,-198.046702395,102.612135894,0.1
390,68.0484266169,102.999685926,0.1
391,-44.006122766,105.121074253,0.1
392,115.036501619,109.025336928,0.1
393,296.296377693,110.628792619,0.1
394,22.3604201314,107.91625423,0.1
395,18.7824227291,105.020455751,0.1
396,317.79035501,107.597673476,0.1
397,297.443992177,109.43011298,0.1
398,334.896352648,109.806495927,0.1
399,258.613693542,114.031185415,0.1
400,48.1013396841,115.722295564,0.1
401,148.251012428,115.935795275,0.1
402,206.811825963,114.621735596,0.1
403,40.3060889019,111.98068861,0.1
404,122.201731568,111.74839314,0.1
405,291.660504954,116.558598985,0.1
406,63.2650701136,120.933699821,0.1
407,118.300130858,120.863489878,0.1
408,278.610266179,120.77270638,0.1
409,91.3795193759,122.895300134,0.1
410,75.3345734377,127.556268259,0.1
411,310.706973258,129.912260712,0.1
412,292.839084336,129.57812798,0.1
413,332.155102851,132.970487066,0.1
414,327.653957286,138.484001104,0.1
415,351.12566732,141.637537388,0.1
416,314.275653178,142.134813419,0.1
417,315.070899093,144.369720553,0.1
418,278.566897784,145.881194531,0.1
419,345.398740637,146.090921747,0.1
420,292.10727174,148.150437,0.1
421,293.005057601,150.307812339,0.1
422,22.1749939891,147.222479788,0.1
